ID,Treatment,nSF,Max_Stages_Reached,n_L_SF1,n_L_SF2,Alive,Contamination,Exclude,Shoot_Length_Init,Shoot_Length,Delta_Length,FW_Plant,DW_Plant,FW_Shoot,DW_Shoot,FW_Stem,DW_Stem,FW_L_SF1,DW_L_SF1,FW_L_SF2,DW_L_SF2,FW_L_Rest,DW_L_Rest,FW_Bud,DW_Bud,FW_Roots_Total,DW_Roots_Total,FW_PR,DW_PR,FW_LR,DW_LR,A_L_SF1,A_L_SF2,N_Ceno,N_Pilo,N_Other,N_No,Length_Tot,Area_Tot,Diameter_Avg,Root_Vol,Tips,Forks,Crossings,Length_Fine,SA_Fine,Vol_Fine
18042024001,Control,3,5,1,2,yes,no,no,3.2,4.2,1,1.65,0.5472,0.73,0.3656,0.2144,0.1082,0.0705,0.1819,0.3428,0.0544,0.0304,0.0211,,,0.89,0.1816,0.4382,0.1509,0.1084,0.0307,9.566,25.385,0,0,0,100,340.2455,40.0417,0.3746,0.375,1230,2179,464,321.2078,26.5651,0.3183
18042024002,Control,2,2,1,2,yes,no,no,1.6,3,1.4,0.9601,0.3775,0.3426,0.1798,0.0938,0.0506,0.0527,0.0292,0.1821,0.0955,,,0.0097,0.0045,0.4854,0.1977,0.3803,0.16,0.0466,0.0377,3.777,15.474,0,0,0,100,339.4239,33.1345,0.3107,0.257,1500,1918,424,325.1636,21.5982,0.2231
18042024003,Control,2,4,0,3,yes,no,no,2,3.4,1.4,0.9408,0.3395,0.3873,0.1889,0.1542,0.0756,,,0.2209,0.1087,,,0.0111,0.0046,0.5192,0.1506,0.386,0.1215,0.0981,0.0291,,17.601,0,0,0,100,248.5182,25.8802,0.3315,0.214,983,1697,333,236.0441,15.5543,0.1485
18042024004,Control,1,3,0,2,yes,no,no,2.1,2.4,0.3,0.339,0.1112,0.1642,0.0828,0.0928,0.0469,,,0.0677,0.0359,,,,,0.1672,0.0284,0.1672,0.0284,,,,5.201,0,0,0,13,9.594,3.0387,1.0082,0.077,13,15,0,9.1372,1.6352,0.0271
18042024005,Control,3,,5,3,yes,yes,yes,3.7,6.7,3,2.2238,0.9045,1.0728,0.5331,0.2811,0.1397,0.2288,0.1292,0.5056,0.2314,0.0364,0.0286,0.0094,0.0042,1.0803,0.3714,0.6083,0.2541,0.2811,0.1173,22.979,34.128,0,0,0,100,681.1099,60.8162,0.2842,0.432,2306,4815,1312,658.2573,39.5857,0.3266
18042024006,Control,3,,3,3,yes,yes,yes,1.2,9.3,8.1,2.3606,0.8799,1.119,0.5142,0.3702,0.1681,0.5375,0.0875,0.1552,0.2346,0.0443,0.0203,0.008,0.0037,1.065,0.3657,0.8502,0.3032,0.1619,0.0625,14.741,40.32,0,0,0,100,454.7085,48.4587,0.3392,0.411,1673,2493,528,425.8785,28.5231,0.2903
18042024007,Control,3,7,2,3,yes,no,no,1.3,9.6,8.3,2.1569,0.8143,1.2166,0.5573,0.2884,0.1196,0.275,0.128,0.5607,0.2355,0.1007,0.0742,,,0.7806,0.257,0.5535,0.2012,0.1461,0.0558,18.811,38.28,0,0,0,100,478.9064,48.4003,0.3217,0.389,1919,2793,512,456.7534,31.717,0.3258
18042024008,Control,3,8,2,2,yes,no,no,1.8,3.4,1.6,1.0983,0.3801,0.5206,0.2047,0.0898,0.0394,0.1365,0.0641,0.2979,0.1012,,,,,0.5709,0.1754,0.3387,0.1189,0.1455,0.057,12.104,20.982,0,0,0,100,382.946,35.1441,0.2921,0.257,1381,2506,634,369.7228,23.7221,0.2163
18042024009,Control,3,,2,5,yes,yes,yes,1.5,5.4,3.9,1.3834,0.4798,0.685,0.2958,0.2088,0.0902,0.2115,0.0961,0.2584,0.1095,,,,,0.5941,0.184,0.4439,0.1461,0.1037,0.038,15.987,18.744,0,0,0,100,420.9294,37.0593,0.2802,0.26,1609,2698,653,408.6304,26.2756,0.2574
18042024010,Control,3,5,4,4,yes,no,no,3.4,8.3,4.9,3.0446,1.329,1.4486,0.7663,0.45,0.2171,0.1524,0.111,0.8134,0.4203,0.0269,0.018,,,1.5039,0.5627,0.9973,0.428,0.3288,0.135,21.753,57.454,0,0,0,100,998.4557,87.9465,0.2804,0.616,3238,7275,2018,955.7254,55.6272,0.4668
18042024011,Control,3,7,3,2,yes,no,no,4.2,7.5,3.3,2.1342,0.8683,0.9619,0.4855,0.2832,0.1393,0.1069,0.0548,0.498,0.256,0.0525,0.032,0.0114,0.004,1.749,0.3828,0.6054,0.262,0.3213,0.121,7.228,34.969,0,0,0,100,787.8655,74.5309,0.3011,0.561,2407,5769,1641,758.806,49.4583,0.4564
18042024012,Control,3,6,4,2,yes,no,no,1,6.5,5.5,1.7989,0.711,0.7165,0.3402,0.1789,0.089,0.1936,0.0946,0.3397,0.1566,,,,,0.9997,0.3708,0.7252,0.278,0.2271,0.093,15.297,22.188,0,0,0,100,542.0371,48.4622,0.2846,0.345,2256,3013,626,520.2801,30.1191,0.2598
18042024013,Ceno,2,3,4,2,yes,no,no,3.7,6.9,3.2,1.2548,0.4573,0.6349,0.2674,0.1836,0.0912,0.1397,0.0644,0.2014,0.0559,0.1034,0.0559,,,0.5295,0.1899,0.2928,0.1276,0.1459,0.0623,13.467,17.212,35,0,0,89,361.5957,33.3536,0.2936,0.245,1562,1754,302,347.2837,22.7401,0.2266
