ID,Set,Treatment,Contaminated,Date,Days,Stage,Week
18042024001,18042024,Control,no,20240508,0,1D,0
18042024002,18042024,Control,no,20240508,0,1D,0
18042024003,18042024,Control,no,20240508,0,1B,0
18042024004,18042024,Control,no,20240508,0,1B,0
18042024005,18042024,Control,yes,20240508,0,1D,0
18042024006,18042024,Control,yes,20240508,0,1B,0
18042024007,18042024,Control,no,20240508,0,1A,0
18042024008,18042024,Control,no,20240508,0,1D,0
18042024009,18042024,Control,yes,20240508,0,1D,0
18042024010,18042024,Control,no,20240508,0,1D,0
18042024011,18042024,Control,no,20240508,0,1C,0
18042024012,18042024,Control,no,20240508,0,1C,0
18042024013,18042024,Ceno,no,20240508,0,1D,0
18042024014,18042024,Ceno,no,20240508,0,1A,0
18042024015,18042024,Ceno,no,20240508,0,1C,0
18042024016,18042024,Ceno,no,20240508,0,1D,0
18042024017,18042024,Ceno,no,20240508,0,1C,0
18042024018,18042024,Ceno,no,20240508,0,1D,0
18042024019,18042024,Ceno,no,20240508,0,1D,0
18042024020,18042024,Ceno,no,20240508,0,1D,0
18042024021,18042024,Ceno,no,20240508,0,1D,0
18042024022,18042024,Ceno,no,20240508,0,1A,0
18042024023,18042024,Ceno,no,20240508,0,1C,0
18042024024,18042024,Ceno,no,20240508,0,1A,0
18042024025,18042024,Pilo,yes,20240508,0,1D,0
18042024026,18042024,Pilo,no,20240508,0,1D,0
18042024027,18042024,Pilo,no,20240508,0,1A,0
18042024028,18042024,Pilo,no,20240508,0,1A,0
18042024029,18042024,Pilo,no,20240508,0,1A,0
18042024030,18042024,Pilo,no,20240508,0,1B,0
18042024031,18042024,Pilo,no,20240508,0,1D,0
18042024032,18042024,Pilo,no,20240508,0,1D,0
18042024033,18042024,Pilo,no,20240508,0,1C,0
18042024034,18042024,Pilo,no,20240508,0,1D,0
18042024035,18042024,Pilo,no,20240508,0,1B,0
18042024036,18042024,Pilo,yes,20240508,0,1C,0
18042024037,18042024,Co_Inoc,no,20240508,0,1D,0
18042024038,18042024,Co_Inoc,no,20240508,0,1A,0
18042024039,18042024,Co_Inoc,no,20240508,0,1D,0
