"contrast","estimate","SE","df","t.ratio","p.value","Part"
"Control - Pilo",-0.0200952512724119,0.0399122214934747,82,-0.503486163397277,0.996792441276024,"Shoot"
"Control - Ceno",0.101709184437615,0.0376885469832781,82,2.69867619154279,0.0496476456128679,"Shoot"
"Control - Co_Inoc",0.0578240704437163,0.0374470841340624,82,1.54415415194153,0.555501081438583,"Shoot"
"Pilo - Ceno",0.121804435710026,0.0412341308669473,82,2.95397121629798,0.0243066333919746,"Shoot"
"Pilo - Co_Inoc",0.0779193217161282,0.0399514120665197,82,1.950352132395,0.285784482909563,"Shoot"
"Ceno - Co_Inoc",-0.0438851139938983,0.0351525595011496,82,-1.24841873868283,0.766767772573204,"Shoot"
"Control - Pilo",-0.0536299091326707,0.0380145348400273,82,-1.41077378319519,0.65392348523344,"Roots"
"Control - Ceno",0.0086667047492231,0.0358965882818642,82,0.241435333106621,0.999952686733674,"Roots"
"Control - Co_Inoc",-0.00549687189161704,0.0356666061473046,82,-0.154118165011684,0.999996685672518,"Roots"
"Pilo - Ceno",0.0622966138818938,0.0392735920423795,82,1.58622144403472,0.524525745755959,"Roots"
"Pilo - Co_Inoc",0.0481330372410537,0.0380518620382807,82,1.26493250691993,0.755948272200822,"Roots"
"Ceno - Co_Inoc",-0.0141635766408401,0.0334811781421653,82,-0.423031011056416,0.998785894358636,"Roots"
