"Treatment1","Treatment2","Day","Lower_CI","Upper_CI","Significant"
"Control","Ceno",1,-0.000980207486328011,0.821823575788722,FALSE
"Control","Ceno",2,-0.000476611993230597,0.894661280529039,FALSE
"Control","Ceno",3,-0.000267569732253509,0.925760345115485,FALSE
"Control","Ceno",4,-9.01415855370069e-05,0.980405965745544,FALSE
"Control","Ceno",5,-3.31594253268896e-05,1.03049936684822,FALSE
"Control","Ceno",6,-8.33465931466269e-06,1.10042773405314,FALSE
"Control","Ceno",7,-6.57851645935452e-09,1.16042872838129,FALSE
"Control","Ceno",8,7.84466397396599e-09,1.18457766287506,TRUE
"Control","Ceno",9,4.9676893665307e-08,1.25581482454741,TRUE
"Control","Ceno",10,1.26839668096457e-07,1.3089255919909,TRUE
"Control","Ceno",11,4.2196195764177e-07,1.36270933182455,TRUE
"Control","Ceno",12,6.76947891814495e-07,1.42072212989977,TRUE
"Control","Ceno",13,1.19630828905315e-06,1.4836370170284,TRUE
"Control","Ceno",14,1.94806683053161e-06,1.54478567967098,TRUE
"Control","Ceno",15,3.92353440433202e-06,1.58230618383043,TRUE
"Control","Ceno",16,5.25212975622247e-06,1.64719327507057,TRUE
"Control","Ceno",17,7.79995936426858e-06,1.70821684634853,TRUE
"Control","Ceno",18,1.44047855042129e-05,1.73854724752656,TRUE
"Control","Ceno",19,1.7074458153199e-05,1.80857869018341,TRUE
"Control","Ceno",20,2.65755047775151e-05,1.86921851876247,TRUE
"Control","Ceno",21,4.47594451985167e-05,1.91467048508427,TRUE
"Control","Ceno",22,6.4090163179581e-05,1.96220658279614,TRUE
"Control","Ceno",23,9.01759581655892e-05,2.00800200391325,TRUE
"Control","Ceno",24,0.000104015539402919,2.04778062451189,TRUE
"Control","Ceno",25,0.000163177268278736,2.10223238449264,TRUE
"Control","Ceno",26,0.000253255308124212,2.14390987086077,TRUE
"Control","Ceno",27,0.000293898678836896,2.18513441715051,TRUE
"Control","Ceno",28,0.000421337510201764,2.24999986425421,TRUE
"Control","Ceno",29,0.000603326725702724,2.27237823413235,TRUE
"Control","Ceno",30,0.000861841305960243,2.33083510902353,TRUE
"Control","Ceno",31,0.00113626774988551,2.36432249702593,TRUE
"Control","Ceno",32,0.00155594847810583,2.40742320382904,TRUE
"Control","Ceno",33,0.00235405126054437,2.44202272370576,TRUE
"Control","Ceno",34,0.00317888083094482,2.47554271258573,TRUE
