var,nSF,n_L_SF1,n_L_SF2,Shoot_Length_Init,Shoot_Length,Delta_Length,FW_Plant,DW_Plant,FW_Shoot,DW_Shoot,FW_Stem,DW_Stem,FW_L_SF1,DW_L_SF1,FW_L_SF2,DW_L_SF2,DW_L_Rest,FW_Bud,DW_Bud,FW_Roots_Total,DW_Roots_Total,FW_PR,DW_PR,FW_LR,DW_LR,A_L_SF1,A_L_SF2,N_Ceno,N_Pilo,Length_Tot,Area_Tot,Diameter_Avg,Root_Vol,Tips,Forks,Crossings,Length_Fine,SA_Fine,Vol_Fine
nSF,1,-0.2909351171829085,-0.32049661212218017,0.3923126585913846,-0.08247860988423225,-0.3303685546032712,0.1649572197684645,0.24743582965269675,0.24743582965269675,0.329914439536929,0.1649572197684645,0.329914439536929,0.08247860988423225,-0.20619652471058064,0.4948716593053935,0.45363235436327737,0,0.24743582965269675,0.10469228644697122,0.28867513459481287,0.37115374447904514,0.28867513459481287,0.329914439536929,0.28867513459481287,0.24743582965269675,-0.12371791482634838,0.5361109642475097,-0.3687083775950658,0.1952106623114296,0.1649572197684645,0.28867513459481287,0.041239304942116126,0.28867513459481287,0.24743582965269675,0.20619652471058064,0.20619652471058064,0.1649572197684645,0.24743582965269675,0.1649572197684645
n_L_SF1,-0.2909351171829085,1,0.5005366996671884,-0.20453047137652752,0.10436097138069876,0.10749046670883199,0.08647051914400755,-0.06858006690731634,0.12523316565683854,0.20275845868250048,0.2713385255898168,0.24748458927422853,0.06261658282841927,0.3548273026943758,-0.12225142361738998,-0.10436097138069876,0.05963484078897073,0.1639958121696695,-0.11505804864012195,0.11926968157794146,0.11628793953849291,0.19381323256415486,0.18188626440636071,0.205740200721949,-0.1997767166430519,0.23555762111643436,-0.18486800644580925,-0.24306616774209291,-0.016130737111932483,0.08348877710455901,-0.13119664973573558,-0.372717754931067,-0.36377252881272143,0.24450284723477997,0.14610535993297827,0.24450284723477997,0.10436097138069876,-0.1878497484852578,-0.26239329947147116
n_L_SF2,-0.32049661212218017,0.5005366996671884,1,-0.6057672258530741,0.04554801360814863,0.4218990561235528,0.29890883930347534,-0.14518429337597374,0.33591660036009613,0.2846750850509289,0.24197382229328956,0.05408826615967649,0.24766732399430816,0.3900048665197726,0.10817653231935298,-0.002846750850509289,-0.29890883930347534,0.019927255953565027,-0.11996675036084593,-0.07116877126273223,-0.08540252551527867,0.2789815833499103,0.06832202041222293,-0.04839476445865792,-0.38715811566926334,0.3672308597156983,0.24482057314379888,0.11378520558970345,-0.0019250571052596968,-0.4241658767258841,-0.4298593784269027,0.22774006804074315,-0.2903685867519475,-0.2903685867519475,-0.3416101020611147,-0.32452959695805894,-0.38431136481875405,-0.4583268869319955,-0.43555288012792126
Shoot_Length_Init,0.3923126585913846,-0.20453047137652752,-0.6057672258530741,1,0.4319123755863727,-0.1763085399449036,0.2255848076310991,-0.12379654077316414,0.18431929404004438,0.21458067067348452,0.3191199717708231,0.3988999647135289,-0.1265475750125678,-0.10729033533674226,0.16781308860362248,0.16781308860362248,0.3108668690526122,0.3163689375314195,0.3436089332506785,0.5722151217959587,0.4594227179804091,0.2558461842645392,0.3768916907982997,0.28335652665857575,0.3878958277559143,-0.2255848076310991,0.09628619837912766,-0.28357948808983896,-0.0334859526437751,0.4594227179804091,0.6272358065840317,-0.11279240381554954,0.5034392658108675,0.38514479351651065,0.26685032122215385,0.2943606636161903,0.4154061701499508,0.5337006424443077,0.4731778891774274
Shoot_Length,-0.08247860988423225,0.10436097138069876,0.04554801360814863,0.4319123755863727,1,0.7867957924694432,0.7252747252747253,0.09890109890109891,0.7472527472527474,0.7032967032967032,0.7582417582417583,0.7307692307692308,0.31868131868131866,0.4560439560439561,0.3681318681318681,0.1813186813186813,0.4395604395604396,-0.19780219780219782,-0.030687014648519934,0.5714285714285714,0.631868131868132,0.554945054945055,0.5329670329670331,0.47802197802197804,0.565934065934066,0.35714285714285715,0.2087912087912088,-0.46235051089299134,0.4681589334958621,0.5329670329670331,0.576923076923077,-0.14835164835164835,0.47802197802197804,0.4120879120879121,0.2692307692307692,0.37912087912087916,0.47802197802197804,0.4835164835164835,0.25824175824175827
Delta_Length,-0.3303685546032712,0.10749046670883199,0.4218990561235528,-0.1763085399449036,0.7867957924694432,1,0.6822564913721046,0.21458067067348452,0.6795054571327009,0.5969744299505915,0.5667130533171515,0.44566754678339093,0.3411282456860523,0.4511696152621982,0.39614893047412525,0.19532343099765898,0.2310868761099064,-0.36588755384068516,-0.2248822693225985,0.2558461842645392,0.3741406565588961,0.44016547830458363,0.3108668690526122,0.33562617720724497,0.4209082386287581,0.42916134134696904,0.26685032122215385,-0.24451496677134074,0.4911273054420348,0.21458067067348452,0.2503441157857319,0.060522753266880246,0.28610756089797934,0.1045393010973386,0.055020684788072954,0.1375517119701824,0.17606619132183343,0.18707032827944806,0.046767582069862014
FW_Plant,0.1649572197684645,0.08647051914400755,0.29890883930347534,0.2255848076310991,0.7252747252747253,0.6822564913721046,1,0.11538461538461539,0.9065934065934066,0.8791208791208792,0.8901098901098902,0.7527472527472527,0.22527472527472528,0.33516483516483514,0.6813186813186813,0.47252747252747257,0.23076923076923078,0.25824175824175827,0.3096598750896103,0.7362637362637362,0.6868131868131868,0.9285714285714286,0.7802197802197803,0.40659340659340665,0.4285714285714286,0.2802197802197802,0.6813186813186813,-0.29763814138736316,0.4272879154922551,0.3076923076923077,0.565934065934066,0.19780219780219782,0.7197802197802198,0.29120879120879123,0.16483516483516483,0.2087912087912088,0.27472527472527475,0.4010989010989011,0.4395604395604396
DW_Plant,0.24743582965269675,-0.06858006690731634,-0.14518429337597374,-0.12379654077316414,0.09890109890109891,0.21458067067348452,0.11538461538461539,1,0.17032967032967034,0.31868131868131866,-0.049450549450549455,0.16483516483516483,-0.13736263736263737,-0.09890109890109891,0.4010989010989011,0.4175824175824176,0.1043956043956044,-0.20329670329670332,-0.053004843483807164,-0.021978021978021976,0.4945054945054945,0.049450549450549455,0.23076923076923078,0.25824175824175827,0.598901098901099,-0.06593406593406594,0.24175824175824176,-0.17049175089179056,0.6576518351489491,0.631868131868132,0.39560439560439564,-0.46703296703296704,0.005494505494505494,0.6208791208791209,0.7527472527472527,0.7252747252747253,0.6538461538461539,0.5714285714285714,0.27472527472527475
FW_Shoot,0.24743582965269675,0.12523316565683854,0.33591660036009613,0.18431929404004438,0.7472527472527474,0.6795054571327009,0.9065934065934066,0.17032967032967034,1,0.9505494505494505,0.9010989010989011,0.8296703296703297,0.554945054945055,0.5879120879120879,0.6098901098901099,0.3736263736263737,0.23076923076923078,-0.005494505494505494,0.0920610439455598,0.5604395604395604,0.6428571428571429,0.8186813186813187,0.6978021978021979,0.2967032967032967,0.2967032967032967,0.5824175824175825,0.6483516483516484,-0.3409835017835811,0.4904522160432841,0.33516483516483514,0.37912087912087916,-0.010989010989010988,0.5054945054945056,0.3241758241758242,0.1758241758241758,0.2527472527472528,0.3076923076923077,0.2802197802197802,0.1813186813186813
DW_Shoot,0.329914439536929,0.20275845868250048,0.2846750850509289,0.21458067067348452,0.7032967032967032,0.5969744299505915,0.8791208791208792,0.31868131868131866,0.9505494505494505,1,0.8956043956043956,0.9065934065934066,0.4450549450549451,0.5604395604395604,0.6263736263736264,0.4340659340659341,0.22527472527472528,0.12087912087912088,0.20922964533081775,0.5824175824175825,0.7637362637362638,0.8351648351648352,0.7802197802197803,0.3626373626373626,0.39560439560439564,0.4945054945054945,0.6373626373626373,-0.43634329465526056,0.6204963642365791,0.46703296703296704,0.4835164835164835,-0.11538461538461539,0.5274725274725275,0.47802197802197804,0.35714285714285715,0.4285714285714286,0.45054945054945056,0.4450549450549451,0.3131868131868132
