var,nSF,Max_Stages_Reached,n_L_SF1,n_L_SF2,Shoot_Length_Init,Shoot_Length,Delta_Length,FW_Plant,DW_Plant,FW_Shoot,DW_Shoot,FW_Stem,DW_Stem,FW_L_SF1,DW_L_SF1,FW_L_SF2,DW_L_SF2,DW_L_Rest,FW_Bud,DW_Bud,FW_Roots_Total,DW_Roots_Total,FW_PR,DW_PR,FW_LR,DW_LR,A_L_SF1,A_L_SF2,N_Ceno,N_Pilo,Mycorrhization,Length_Tot,Area_Tot,Diameter_Avg,Root_Vol,Tips,Tips_per_cm,Forks,Crossings,Length_Fine,Length_Prop_Fine,SA_Fine,SA_Prop_Fine,Vol_Fine,Vol_Prop_Fine
nSF,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Max_Stages_Reached,0.016244382672932132,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
n_L_SF1,0.33486119124497316,0.31560859766487925,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9229301577469439,1,1,1,1,1,1,1,1
n_L_SF2,0.2856913407523003,0.3416993018971832,0.08148440308957387,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shoot_Length_Init,0.18487564831866724,0.914187978394367,0.5026783254364396,0.028216630791249506,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shoot_Length,0.7887978280460586,0.4306805311762837,0.7343890279929199,0.8825377466723056,0.14053110184653045,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delta_Length,0.2702600365148612,0.5711326327649946,0.7266941740334484,0.15100636373614656,0.5644924108111397,0.0014174536758954914,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FW_Plant,0.5902000816113703,0.9254530830770681,0.7787987087543642,0.3211649825618537,0.45867079393927446,0.005023237655349925,0.010194832388344982,-0,1,0.018736563597119487,0.07272958114422146,0.04405647130318637,1,1,1,1,1,1,1,1,1,1,0.004496849015455253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DW_Plant,0.41504862894541317,0.40254772389364324,0.8238356999848321,0.6360381899950801,0.6869954200357564,0.7478683035983906,0.48143708867618074,0.7073898735142603,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FW_Shoot,0.41504862894541317,0.9254530830770681,0.6835313590983583,0.26180701430536013,0.5466338038018766,0.0033267413834299686,0.010626342128568072,1.9296152005272386e-5,0.5779754288392673,-0,6.242794382782566e-4,0.025276047502572997,0.43092398483772515,1,1,1,1,1,1,1,1,1,0.5924229192232546,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DW_Shoot,0.2709589277132673,0.9925360889725461,0.5064668448104526,0.3458354208064008,0.48143708867618074,0.007318569842104318,0.03123477147634297,7.544562359359073e-5,0.28858316144472024,6.363704773478661e-7,-0,0.033626199126696794,0.018736563597119487,1,1,1,1,1,1,1,1,1,0.36423934081734477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FW_Stem,0.5902000816113703,0.7003061252733479,0.36985738831449877,0.42575033037293186,0.2878828323048208,0.002666078612137288,0.043438983331110195,4.5654374407447015e-5,0.8725444288811492,2.6138622029548085e-5,3.48097299448207e-5,-0,0.006680393800902256,1,1,1,1,1,1,1,1,1,0.07272958114422146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DW_Stem,0.2709589277132673,0.7785767476362266,0.41495371224570554,0.8606912306764823,0.1769531402161251,0.0045477337439671335,0.12693783617174834,0.0029822333891698473,0.590478988652005,4.502862955462123e-4,1.9296152005272386e-5,6.851685949643339e-6,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FW_L_SF1,0.7887978280460586,0.5458800989416496,0.8389659491700819,0.4145980939605839,0.6803669766362551,0.28858316144472024,0.25401073441936617,0.45930514272500556,0.6545168402947127,0.049004495598330935,0.12752383613843682,0.12752383613843682,0.13834237788821271,-0,0.17351579108750467,1,1,1,1,1,1,1,1,1,1,1,6.242794382782566e-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DW_L_SF1,0.4991280865985603,0.08664478102928916,0.23418532955846227,0.18770339099851166,0.7271855626479009,0.11728306543614496,0.12175488699699025,0.26294314035936006,0.7478683035983906,0.03458605834210784,0.04634590589406464,0.03458605834210784,0.04134226737172356,1.809340887252395e-4,-0,1,1,1,1,1,1,1,1,1,1,1,0.0011003287220976799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FW_L_SF2,0.08555564436774868,0.0784216816536057,0.6907273713236497,0.7250103878418662,0.5836890454315045,0.2158571806493815,0.1802350057664944,0.010340409451492871,0.17435746494503276,0.026877834421252005,0.02198860240988963,0.1679783461478961,0.19441291997748622,0.9431862416608072,0.7343037452877027,-0,0.0018369269644802253,1,1,1,1,1,1,1,1,1,1,0.009648663459307998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DW_L_SF2,0.11948151603226087,0.1024317274406848,0.7343890279929199,0.992635831473335,0.5836890454315045,0.5532950092839336,0.5225013271325194,0.10298105029992852,0.15567475363347455,0.20855405979520888,0.13834237788821271,0.5532950092839336,0.5053147342962482,0.5655798619595345,0.45930514272500556,1.8782484299388806e-6,-0,1,1,1,1,1,1,1,1,1,1,0.43092398483772515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DW_L_Rest,1,0.9328918615988396,0.8465505454458228,0.3211649825618537,0.3012234648563527,0.13286024415692965,0.4474852561081234,0.44812738231536575,0.7343037452877027,0.44812738231536575,0.45930514272500556,0.1679783461478961,0.15567475363347455,0.7889509278475181,0.6676075762175148,0.41540511972553806,0.1223318876780357,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FW_Bud,0.41504862894541317,0.48974174081688365,0.5923983931778198,0.9484808861768967,0.2922911964687993,0.5171309114848299,0.21888494597210814,0.3942840173973614,0.5053147342962482,0.9857869107140623,0.6940473279966857,0.4706148514721424,0.680785475070949,0.10298105029992852,0.36367498164017825,0.5532950092839336,0.45930514272500556,0.971577682777073,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
